name_genres,title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue
['Comedy'],The Girl Next Door,2004-04-09,2004,13.083718,844.0,6.3,"['Emile Hirsch', 'Elisha Cuthbert', 'Timothy Olyphant', 'James Remar', 'Chris Marquette', 'Paul Dano', 'Timothy Bottoms', 'Amanda Swisten', 'Brian Kolodziej', 'Julie Osburn', 'Ulysses Lee', 'Brandon Iron', 'Donna Bullock', 'Sung-Hi Lee', 'Jacob Young', 'Harris Laskawy', 'Laird Stuart', 'Richard Fancy', 'Catherine McGoohan', 'Dane Garretson', 'Olivia Wilde', 'Michael Villani', 'Autumn Reeser']",Luke Greenfield,25000000.0,30411183.0
['Science Fiction'],Time Tracers,1997-12-16,1997,0.001247,0.0,0.0,"['Rocky Patterson', 'Dorenda Moore', 'Tyler Mason', 'Jeffrey Combs', 'T.J. Myers']",Bret McCormick,0.0,0.0
['Drama'],Jean Charles,2009-06-26,2009,0.899425,18.0,6.2,"['Selton Mello', 'Luis Miranda', 'Marek Oravec', 'Renu Setna', 'Bruno Bilotta', 'Vanessa Giácomo']",Henrique Goldman,0.0,0.0
"['TV Movie', 'Drama']",The Lottery,1996-09-29,1996,0.634148,2.0,3.5,"['Dan Cortese', 'Veronica Cartwright', 'Keri Russell']",Daniel Sackheim,0.0,0.0
"['Crime', 'Action', 'Thriller']",Born to Fight,2004-08-05,2004,0.682037,13.0,5.3,"['Santisuk Promsiri', 'Nappon Gomarachun', 'Dan Chupong', 'Somrak Khamsing', 'Piyapong Piew-on', 'Amornthep Waewsang', 'Rattaporn Khemtong', 'Kessarin Ektawatkul', 'Nantaway Wongwanichislip', 'Suebsak Pansueb', 'Chatthapong Pantanaunkul', 'Sasisa Jindamanee', 'Payong Mounda', 'Swat Hoopsom', 'Sahaschai Chumrum', 'Vanna Bonta', 'June Angela', 'Elyse Dinh', 'Josiah D. Lee', 'Marlene Sharp']",Panna Rittikrai,0.0,0.0
"['Drama', 'Comedy']",Win Win,2011-03-18,2011,4.480723,176.0,6.7,"['Paul Giamatti', 'Alex Shaffer', 'Amy Ryan', 'Melanie Lynskey', 'Bobby Cannavale', 'Jeffrey Tambor', 'Burt Young', 'Nina Arianda', 'Margo Martindale', 'Clare Foley', 'David W. Thompson', 'Marcia Haufrecht', 'Sharon Wilkins', 'Penelope Kindred', 'Sophie Kindred', 'Tim Ransom', 'Marceline Hugot', 'Darren Goldstein', 'Edmund Ikeda', 'Joseph Tiboni', 'Pam Levine', 'Dariusz M. Uczkowski']",Tom McCarthy,10831173.0,10654385.0
"['Comedy', 'Foreign', 'Romance']",Divorcing Jack,1998-10-01,1998,0.817974,5.0,6.7,"['David Thewlis', 'Rachel Griffiths', 'Jason Isaacs', 'Laura Fraser', 'Richard Gant', 'Laine Megaw', 'Bronagh Gallagher', 'Kitty Aldridge', 'Robert Lindsay', 'Adam Blackwood', 'Simon Magill', 'Gerard Jordan']",David Caffrey,0.0,0.0
['Drama'],Leonie,2010-11-20,2010,0.492103,1.0,5.0,"['Emily Mortimer', 'Kazuko Yoshiyuki', 'Shidou Nakamura', 'Christina Hendricks', 'Mieko Harada', 'Jan Milligan', 'Keiko Takeshita', 'Kelly Vitz', 'Nichole Hiltz', 'Jay Karnes', 'Marco St. John', 'Mary Kay Place']",Hisako Matsui,0.0,0.0
"['Drama', 'Romance']",Onegin,1999-12-22,1999,7.171138,26.0,5.8,"['Ralph Fiennes', 'Liv Tyler', 'Toby Stephens', 'Lena Headey', 'Martin Donovan']",Martha Fiennes,14000000.0,206128.0
"['Family', 'Music']",Tom Sawyer,1973-01-01,1973,1.490174,21.0,6.3,"['Johnny Whitaker', 'Celeste Holm', 'Warren Oates', 'Jeff East', 'Jodie Foster', 'Lucille Benson', 'Henry Jones', 'Noah Keen', 'Dub Taylor', 'Richard Eastham', 'Sandy Kenyon', 'Joshua Hill Lewis', 'Susan Joyce', 'Steve Hogg', 'Sean Summers', 'Kevin Jefferson', 'Page Williams', 'James A. Kuhn', 'Mark Lynch', 'Mark Lynch', 'Anne Voss', 'Kunu Hank']",Don Taylor,0.0,0.0
